지점명,주소,주소1,주소2,주소3
홈플러스김해,경상남도 김해시 김해대로 2078,경상남도,김해시,김해대로 2078
부산범어사역,부산광역시 금정구 중앙대로 2103,부산광역시,금정구,중앙대로 2103
롯데마트삼양,서울특별시 강북구 삼양로 247,서울특별시,강북구,삼양로 247
길음뉴타운점,서울특별시 성북구 길음로7길 6,서울특별시,성북구,길음로7길 6
롯데마트제천,충청북도 제천시 용두대로 111,충청북도,제천시,용두대로 111
역곡역,경기도 부천시 부일로 727,경기도,부천시,부일로 727
수영로타리,부산광역시 수영구 수영로 710-1,부산광역시,수영구,수영로 710-1
구리토평,경기도 구리시 체육관로 26,경기도,구리시,체육관로 26
용인신봉,경기도 용인시 수지구 수지로 217,경기도,용인시,수지구 수지로 217
대전시청,대전광역시 서구 문정로 70,대전광역시,서구,문정로 70
홈플러스밀양,경상남도 밀양시 점필재로 45,경상남도,밀양시,점필재로 45
문산,경기도 파주시 문산읍 문향로 70 동양슈퍼마켓,경기도,파주시,문산읍 문향로 70 동양슈퍼마켓
광주양산,광주광역시 북구 임방울대로 1068,광주광역시,북구,임방울대로 1068
이수역,서울특별시 동작구 동작대로 129 1층,서울특별시,동작구,동작대로 129 1층
단양,충청북도 단양군 단양읍 삼봉로 315,충청북도,단양군,단양읍 삼봉로 315
청주터미널,충청북도 청주시 흥덕구 풍산로 18 터미널타워,충청북도,청주시,흥덕구 풍산로 18 터미널타워
함양,경상남도 함양군 함양읍 고운로 52 롯데리아,경상남도,함양군,함양읍 고운로 52 롯데리아
삼호한마음,전라남도 영암군 삼호읍 신항로 63-12,전라남도,영암군,삼호읍 신항로 63-12
시흥능곡,경기도 시흥시 장현능곡로 198,경기도,시흥시,장현능곡로 198
군산산북,전라북도 군산시 공단대로 566,전라북도,군산시,공단대로 566
목포석현,전라남도 목포시 영산로 559,전라남도,목포시,영산로 559
천안목천,충청남도 천안시 동남구 목천읍 충절로 895 휴게음식점,충청남도,천안시,동남구 목천읍 충절로 895 휴게음식점
파주운정,경기도 파주시 미래로 622,경기도,파주시,미래로 622
충남대,대전광역시 유성구 궁동로18번길 6,대전광역시,유성구,궁동로18번길 6
광주수완,광주광역시 광산구 임방울대로 338,광주광역시,광산구,임방울대로 338
광주두암,광주광역시 북구 갈마로 53,광주광역시,북구,갈마로 53
메가마트언양,울산광역시 울주군 삼남읍 반구대로 612,울산광역시,울주군,삼남읍 반구대로 612
평택송탄,경기도 평택시 특구로 24,경기도,평택시,특구로 24
화천,강원도 화천군 화천읍 중앙로 16,강원도,화천군,화천읍 중앙로 16
대구동성로,대구광역시 중구 동성로 39 씨네시티 한일,대구광역시,중구,동성로 39 씨네시티 한일
양주고읍,경기도 양주시 고읍남로 2,경기도,양주시,고읍남로 2
공릉역,서울특별시 노원구 동일로192길 27,서울특별시,노원구,동일로192길 27
가든파이브,서울특별시 송파구 충민로 66,서울특별시,송파구,충민로 66
